id,scientificName,species,genus,family,phylum,class,eventDate,decimalLatitude,decimalLongitude,depth,minimumDepthInMeters,maximumDepthInMeters,country,locality,marine,basisOfRecord
000f94d7-43b1-49b3-bc1b-9cd8d039a02c,Chaetodon falcula,Chaetodon falcula,Chaetodon,Chaetodontidae,Chordata,Teleostei,2022-08-01T17:23:00+05:00,4.2256487181,73.5196594859,,,,,,True,HumanObservation
001117c5-6398-4a9e-8663-6b2916db3bb9,Pygoplites diacanthus,Pygoplites diacanthus,Pygoplites,Pomacanthidae,Chordata,Teleostei,2024-07-06T02:10:00+05:00,5.4637820802,72.978602757,,,,,,True,HumanObservation
00126f02-4340-4a53-896a-2ed40d58bdf3,Valenciennea sexguttata,Valenciennea sexguttata,Valenciennea,Gobiidae,Chordata,Teleostei,,8.543261,81.218222,,,,Sri Lanka,,True,PreservedSpecimen
0012c413-a834-4d0f-a123-77b6ce4ee775,Cheilinus undulatus,Cheilinus undulatus,Cheilinus,Labridae,Chordata,Teleostei,2019-03-28T18:31:00+08:00,3.202778,73.22068,,,,,,True,HumanObservation
00138ca5-42c9-4768-8cb5-207bf0a3eea6,Johnius belangerii,Johnius belangerii,Johnius,Sciaenidae,Chordata,Teleostei,,21.9442127684078,88.8980217778187,,,,India,Indian Sundarbans,True,HumanObservation
001471f5-1dca-4c4b-961b-a2c9d805a3ce,Pseudanthias pulcherrimus,Pseudanthias pulcherrimus,Pseudanthias,Anthiadidae,Chordata,Teleostei,2011-12-15T08:12:00+05:00,2.0313645996,73.520507977,,,,,,True,HumanObservation
00160e46-d24e-4568-937b-82f3928fc366,Setipinna taty,Setipinna taty,Setipinna,Engraulidae,Chordata,Teleostei,2023-01-08,21.7565804,89.2230174,,,,,Sundarbans west wildlife sanctuary,True,MachineObservation
0016ba81-dc20-4546-b9f2-d3f128c89196,Chaetodon falcula,Chaetodon falcula,Chaetodon,Chaetodontidae,Chordata,Teleostei,2026-01-10T16:11:00+05:00,5.0644434888,73.0318884212,,,,,,True,HumanObservation
0018c973-b5a1-4db4-940d-ea129f8ebbff,Ariidae,,,Ariidae,Chordata,Teleostei,2023-01-09,21.7039168,89.2609951,,,,,Sundarbans West Wildlife Sanctuary,True,MachineObservation
0018d496-fc1a-4be4-bacb-5cb8cbd8a201,Ostichthys kaianus,Ostichthys kaianus,Ostichthys,Holocentridae,Chordata,Teleostei,,9.0,76.0,,,,India,,True,PreservedSpecimen
0018f1e4-6d20-49ac-8d9d-ec0c4503932b,Chaetodon decussatus,Chaetodon decussatus,Chaetodon,Chaetodontidae,Chordata,Teleostei,2026-02-16T16:42:00+05:30,6.1336995109,80.0985620487,,,,,,True,HumanObservation
001b1688-9166-4c25-ae0d-dccc43117b00,Coilia ramcarati,Coilia ramcarati,Coilia,Engraulidae,Chordata,Teleostei,2023-01-08,21.827841,89.1954232,,,,,Sundarbans west wildlife sanctuary,True,MachineObservation
001bfb6a-336a-4c2e-b711-6bdbf62bc830,Parapercis millepunctata,Parapercis millepunctata,Parapercis,Pinguipedidae,Chordata,Teleostei,2023-03-22T10:31:00+05:00,3.5116954134,72.9140669049,,,,,,True,HumanObservation
001d2286-59d5-4e5a-a6cc-2e1a587dfee2,Lagocephalus spadiceus,Lagocephalus spadiceus,Lagocephalus,Tetraodontidae,Chordata,Teleostei,,18.52149,93.649156,,,,Myanmar [Burma],,True,PreservedSpecimen
